Ahiwara,67,GURU RUDRA KUMAR,Indian National Congress,RAJMAHANT SANWLA RAM DAHRE,Bharatiya Janata Party,31687,RAJMAHNT SANWLA RAM DAHRE,Bharatiya Janata Party,31676

Akaltara,33,SAURABH SINGH,Bharatiya Janata Party,RICHA JOGI,Bahujan Samaj Party,1854,CHUNNILAL SAHU,Indian National Congress,21693

Arang,52,DR. SHIVKUMAR DAHARIYA,Indian National Congress,SANJAY DHIDHI,Bharatiya Janata Party,25077,NAVEEN MARKANDEY,Bharatiya Janata Party,13774

Beltara,31,RAJNISH KUMAR SINGH,Bharatiya Janata Party,RAJENDRA SAHU(DABBU),Indian National Congress,6259,BADRIDHAR DIWAN,Bharatiya Janata Party,5728

Bilaigarh,43,CHANDRADEV PRASAD RAI,Indian National Congress,SHYAM KUMAR TANDAN,Bahujan Samaj Party,9847,DR. SANAM JANGRE,Bharatiya Janata Party,12695

Bilha,29,DHARAM LAL KAUSHIK,Bharatiya Janata Party,RAJENDRA SHUKLA,Indian National Congress,26524,SIYARAM KAUSHIK,Indian National Congress,10968

Bindranawagarh,55,DAMARUDHAR PUJARI,Bharatiya Janata Party,SANJAY NETAM,Indian National Congress,10430,GOVARDHAN SINGH MANJHI,Bharatiya Janata Party,30536

Chitrakot,87,DEEPAK  BAIJ,Indian National Congress,LACHHURAM KASHYAP,Bharatiya Janata Party,17770,DEEPAK KUMAR BAIJ,Indian National Congress,12329

Durg Gramin,63,TAMRADHWAJ SAHU,Indian National Congress,JAGESHWAR SAHU,Bharatiya Janata Party,27112,SMT. RAMSHILA SAHU,Bharatiya Janata Party,2979

Gunderdehi,61,KUNWER SINGH NISHAD,Indian National Congress,DEEPAK TARACHAND SAHU,Bharatiya Janata Party,55394,RAJENDRA KUMAR RAI,Indian National Congress,21280

Jaijaipur,37,KESHAV PRASAD CHANDRA,Bahujan Samaj Party,KAILASH SAHU,Bharatiya Janata Party,21687,KESHAV CHANDRA,Bahujan Samaj Party,2579

Janjgir-champa,34,NARAYAN CHANDEL,Bharatiya Janata Party,MOTILAL DEWANGAN,Indian National Congress,4188,MOTI LAL DEVANGAN,Indian National Congress,10211

Jashpur,12,VINAY KUMAR BHAGAT,Indian National Congress,GOVIND RAM BHAGAT,Bharatiya Janata Party,8026,RAJSHARAN BHAGAT,Bharatiya Janata Party,34349

Kanker,81,SHISHUPAL SHORI,Indian National Congress,HIRA MARKAM,Bharatiya Janata Party,19804,SHANKER DHRUWA,Indian National Congress,4625

Kasdol,44,SHAKUNTALA SAHU,Indian National Congress,GAURISHANKAR AGRAWAL,Bharatiya Janata Party,48418,GAURI SHANKAR AGRAWAL,Bharatiya Janata Party,22928

Katghora,22,PURUSHOTTAM KANWAR,Indian National Congress,LAKHANLAL DEWANGAN,Bharatiya Janata Party,11511,LAKHAN DEWANGAN,Bharatiya Janata Party,13130

Keshkal,82,SANT RAM NETAM,Indian National Congress,HARISHANKAR NETAM,Bharatiya Janata Party,16972,SANTRAM NETAM,Indian National Congress,8689

Khallari,41,DWARIKADHISH YADAV,Indian National Congress,MONIKA DILIP SAHU,Bharatiya Janata Party,56978,CHUNNI LAL SAHU,Bharatiya Janata Party,5999

Khujji,77,CHHANNI CHANDU SAHU,Indian National Congress,HIRENDRA KUMAR SAHU,Bharatiya Janata Party,27497,BHOLARAM SAHU,Indian National Congress,8694

Korba,21,JAISINGH AGRAWAL(JAISINGH BHAIYA),Indian National Congress,VIKAS MAHTO,Bharatiya Janata Party,11806,JAI SINGH AGRAWAL (JAI SINGH BHAIYYA),Indian National Congress,14449

